 ,Annuel 2026,,moonddiiall,
1,dif67,,(6),122.6
2,AnthonyGB,,(1),120.7
3,pc1546,(+0.3),(3),109.0
4,Ross Taylor,,(2),99.0
5,istvan martinko,,(7),85.5
6,Macigno,(+8.1),(5),82.3
7,Mat Cauthon,,(14),76.0
8,HIBOU666,,(9),70.0
9,Vrepet,,(13),69.4
10,Ozgn,(+8.1),(8),67.6
11,MattB,,(16),66.7
12,Cosmologic,(+8.1),(31),59.8
13,ronny lundkvist,,(18),58.0
13,Wieb84,,(26),58.0
13,xavier63,,(11),58.0
16,mcfleur,,(12),51.5
17,philip Rmy,,(4),51.1
18,ginobiloba,,(32),51.0
19,Passepartout63,,(33),50.0
20,Momentum,(+0.3),(22),49.3
21,doritos,,(35),46.5
22,DK1966,,(17),45.0
23,Roger Leclerc,,(28),44.9
24,Franck Huegaerts,,(19),40.0
25,clonic,,(35),38.5
26,krzysztofc,,(38),38.0
27,G-3-D,,(29),37.1
28,maki21,,(27),37.0
29,Professeur Doudou,,(39),36.7
30,Toker49,,(10),36.0
31,marsalac,,(20),35.0
32,ankrak19,,(44),34.8
33,lartiste74,(+8.1),(30),33.1
34,Numero 6,,(15),31.0
35,.parsifal.,,(48),30.8
36,Montibruno,,(50),30.0
37,Nihao,(+8.1),(51),28.6
38,gemyloya,,(23),27.5
39,Rodzia1981,,(54),26.5
40,mamyla,(+18),(125),26.0
41,PITIE,(+25),,25.0
41,portdalon,,(42),25.0
43,jbelmar,,(62),23.3
44,boccapere,,(63),23.0
45,JulienMaier,,(43),22.9
46,Lilou Bragart,,(66),21.5
46,Mark_pieters,,(35),21.5
48,dominique parant,,(25),20.4
49,Marianne Ruefenacht,,(68),20.0
50,Daniel Finon,,(56),19.0
51,Rosa Fastelli,,(74),18.3
52,bullspread,,(65),18.0
52,ursupi,,(73),18.0
54,Endersgame,,(40),17.7
55,Pommes,,(79),17.0
56,jmz1,,(72),16.8
57,bonpapa33,,(82),16.5
57,Gunn Jensdottir,,(24),16.5
57,Petrichore,,(41),16.5
60,capobanda,,(87),15.0
60,Lucio 73,,(87),15.0
60,Meszaros,,(77),15.0
60,Ninise17,,(34),15.0
60,patitou#,,(58),15.0
65,sifs,,(47),14.5
66,jr61,,(93),14.2
67,Marco##,,(94),14.0
68,Louis62,,(51),13.5
69,asb10,,(1),13.3
70,Mads Fakkeltorn,,(100),12.2
71,boumidog,,(100),12.0
71,Leju,,(57),12.0
71,marieluz,,(68),12.0
71,Pom Cannelle,,(21),12.0
71,Qamar,,(102),12.0
71,serogan,,(102),12.0
71,susu28,,(102),12.0
78,Marian2805,,(108),11.5
78,Tg62,,(66),11.5
80,geteo92210,,(109),11.4
81,Bela 4,,(110),11.3
81,LIEGAIX,,(78),11.3
83,28zico,,(111),11.0
83,Alain321,,(111),11.0
83,Berit284,,(111),11.0
83,margareta37,,(91),11.0
83,pseudo,,(111),11.0
88,Cosey,,(49),10.5
89,Ileanton,,(115),10.0
90,3813 SYLVIE,,(116),10.0
90,Catherine Tristan,,(116),10.0
90,Heli3,,(116),10.0
90,Kludzia,,(116),10.0
94,MaybeIMP,(+8.1),(45),9.6
95,Bodzio,,(121),9.0
95,Maria Sala Gallart,,(121),9.0
97,fredd,,(124),8.3
98,Nr21,(+8.1),,8.1
99,AadRam,,(63),8.0
99,Bhimsen,,(70),8.0
99,Edith68,,(79),8.0
99,Felix33,,(125),8.0
103,deraje.,,(134),7.0
103,ribellu,,(134),7.0
103,Steef W,,(134),7.0
106,fredbridge,,(140),6.2
107,widar eiker,,(86),6.0
108,mamyfa,,(146),5.5
109,Dominique Bonte,,(54),5.0
109,Jack Rose,,(149),5.0
109,KID9,,(149),5.0
109,Maurice Lafourcade,,(149),5.0
113,chris duroselle,,(154),4.5
114,Eric Benso,,(155),4.0
114,jeanlouis88,,(155),4.0
114,Marue,,(132),4.0
117,Allvision1,,(133),3.6
118,alain60,,(164),3.3
119,jockegais,,(165),3.0
119,Seal45140,,(165),3.0
121,Heathcliff1,,(170),2.0
122,merchecarioca,,(172),1.8
122,missclick,,(145),1.8
124,Chris3d,,(79),1.0
124,Claude 49000,,(176),1.0
124,foxwroj,,(176),1.0
124,Frimou,,(176),1.0
124,Jaca Placa,,(141),1.0
124,Jaro.Z,,(176),1.0
124,MariaR,,(176),1.0
131,Palüda,,(183),0.9
132,derborence,,(96),0.9
133,DSP1729,,(184),0.8
133,zigoto,,(184),0.8
135,bigorneau,,(53),0.6
135,Yashir,,(186),0.6
137,lisafat,,(188),0.3
137,tifoubock,(+0.3),,0.3
139,Atrahasis,,(190),0.2
139,Cricri64,,(190),0.2
139,johane,,(190),0.2
139,xaviera flori,,(190),0.2
